code,parent_code
domain_1,
101,domain_1
102,domain_1
103,domain_1
103.1,103
103.2,103
104,domain_1
105,domain_1
106,domain_1
107,domain_1
108,domain_1
109,domain_1
110,domain_1
domain_2,
201,domain_2
201.1,201
201.2,201
202,domain_2
202.1,202
202.2,202
202.3,202
202.4,202
203,domain_2
204,domain_2
domain_3,
301,domain_3
302,domain_3
303,domain_3
304,domain_3
305,domain_3
305.1,305
305.2,305
305.3,305
305.4,305
305.5,305
305.6,305
domain_4,
401,domain_4
402,domain_4
403,domain_4
404,domain_4
405,domain_4
406,domain_4
407,domain_4
408,domain_4
409,domain_4
410,domain_4
411,domain_4
412,domain_4
413,domain_4
414,domain_4
415,domain_4
416,domain_4
416.1,416
416.2,416
domain_5,
501,domain_5
502,domain_5
503,domain_5
504,domain_5
505,domain_5
506,domain_5
507,domain_5
domain_6,
601,domain_6
601.1,601
601.2,601
602,domain_6
602.1,602
602.2,602
603,domain_6
604,domain_6
605,domain_6
605.1,605
605.2,605
606,domain_6
606.1,606
606.2,606
607,domain_6
607.1,607
607.2,607
607.3,607
608,domain_6
608.1,608
608.2,608
608.3,608
domain_7,
701,domain_7
702,domain_7
703,domain_7
703.1,703
703.2,703
704,domain_7
705,domain_7
706,domain_7
000,
