language,handbook,level,code,n
english,5,leaf,504,18871
english,5,leaf,411,11921
english,5,leaf,503,9659
english,5,leaf,501,8616
english,5,leaf,506,6818
english,5,leaf,701,6123
english,5,leaf,403,6009
english,5,leaf,605.1,5729
english,5,leaf,703.1,5594
english,5,leaf,402,4855
english,5,leaf,416.2,4675
english,5,leaf,410,4166
english,5,leaf,104,3570
english,5,leaf,607.3,2791
english,5,leaf,502,2755
english,5,leaf,202.1,2469
english,5,leaf,303,2363
english,5,leaf,301,2300
english,5,leaf,305.1,2269
english,5,leaf,107,2101
english,5,leaf,601.1,2047
english,5,leaf,401,1879
english,5,leaf,201.2,1873
english,5,leaf,414,1497
english,5,leaf,304,1155
english,5,leaf,602.2,1116
english,5,leaf,606.1,1091
english,5,leaf,706,1089
english,5,leaf,605.2,960
english,5,leaf,603,887
english,5,leaf,108,882
english,5,leaf,406,867
english,5,leaf,407,812
english,5,leaf,413,746
english,5,leaf,607.1,737
english,5,leaf,412,701
english,5,leaf,409,620
english,5,leaf,201.1,602
english,5,leaf,601.2,597
english,5,leaf,505,575
english,5,leaf,101,528
english,5,leaf,404,527
english,5,leaf,607.2,429
english,5,leaf,705,421
english,5,leaf,105,416
english,5,leaf,604,401
english,5,leaf,106,358
english,5,leaf,305.2,354
english,5,leaf,110,333
english,5,leaf,204,313
english,5,leaf,408,280
english,5,leaf,602.1,268
english,5,leaf,202.4,229
english,5,leaf,202.3,227
english,5,leaf,702,208
english,5,leaf,109,187
english,5,leaf,405,178
english,5,leaf,704,159
english,5,leaf,305.3,149
english,5,leaf,203,146
english,5,leaf,302,129
english,5,leaf,507,111
english,5,leaf,103.1,104
english,5,leaf,415,82
english,5,leaf,606.2,65
english,5,leaf,102,64
english,5,leaf,608.2,53
english,5,leaf,703.2,40
english,5,leaf,608.3,36
english,5,leaf,416.1,31
english,5,leaf,202.2,27
english,5,leaf,103.2,26
english,5,leaf,608.1,14
english,5,leaf,305.6,4
english,5,leaf,305.5,0
english,5,leaf,305.4,0
english,5,category,103,130
english,5,category,407,812
english,5,category,416,4706
english,5,category,102,64
english,5,category,406,867
english,5,category,502,2755
english,5,category,109,187
english,5,category,303,2363
english,5,category,405,178
english,5,category,106,358
english,5,category,105,416
english,5,category,414,1497
english,5,category,411,11921
english,5,category,507,111
english,5,category,410,4166
english,5,category,605,6689
english,5,category,104,3570
