estimator,level,code,train_prevalence,mean_true_share,bias,ci_low,ci_high
cc,leaf,101,0.00437,0.00225,-0.00035,-0.00235,0.00151
cc,leaf,103.1,0.00095,0.00112,-0.00059,-0.00172,0.00021
cc,leaf,104,0.03065,0.02321,0.00194,-0.00312,0.00634
cc,leaf,105,0.00271,0.00294,0.00062,-0.0011,0.00253
cc,leaf,106,0.00252,0.00278,0.00034,-0.00063,0.00124
cc,leaf,107,0.01554,0.0096,0.00253,0.00042,0.00458
cc,leaf,108,0.00516,0.00439,0.00384,-0.00019,0.00887
cc,leaf,109,0.00082,0.00264,-0.00238,-0.00531,-0.00032
cc,leaf,110,0.00205,0.00607,-0.0039,-0.00927,1e-05
cc,leaf,201.1,0.00281,0.00609,-0.00417,-0.00928,-0.00086
cc,leaf,201.2,0.0115,0.00999,0.00333,-6e-05,0.00728
cc,leaf,202.1,0.01489,0.02608,0.00806,0.00102,0.0164
cc,leaf,202.3,0.00065,0.0036,-0.00257,-0.00793,0.00098
cc,leaf,202.4,0.00069,0.00475,-0.00368,-0.00764,-0.00088
cc,leaf,203,0.00061,0.00354,-0.00329,-0.00701,-0.0006
cc,leaf,204,0.00117,0.00181,-0.00128,-0.00298,0.00013
cc,leaf,301,0.01636,0.01168,0.00345,-0.00055,0.00739
cc,leaf,302,0.00095,0.00085,-0.00073,-0.00154,-4e-05
cc,leaf,303,0.01576,0.02111,-0.00374,-0.01195,0.00277
cc,leaf,304,0.0047,0.03013,-0.01473,-0.032,-0.0029
cc,leaf,305.1,0.0192,0.02172,-0.00041,-0.01026,0.00778
cc,leaf,305.2,0.00356,0.0013,0.00076,-0.00024,0.00199
cc,leaf,305.3,0.00098,0.00402,-0.00257,-0.00558,-0.00038
cc,leaf,401,0.01214,0.01878,-0.00943,-0.02044,-0.00011
cc,leaf,402,0.04259,0.02078,0.00499,0.00121,0.00895
cc,leaf,403,0.04142,0.03582,0.01633,0.00634,0.02766
cc,leaf,404,0.0039,0.00308,-0.00228,-0.00467,-0.00058
cc,leaf,405,0.00126,0.00128,-0.00088,-0.00179,-0.00017
cc,leaf,406,0.0052,0.01187,-0.00682,-0.01156,-0.00278
cc,leaf,407,0.00626,0.0034,0.00073,-0.00085,0.00228
cc,leaf,408,0.00212,0.00276,-0.00274,-0.0047,-0.00107
cc,leaf,409,0.00535,0.0029,-0.00162,-0.00392,2e-05
cc,leaf,410,0.0357,0.02053,0.00241,-0.00177,0.00657
cc,leaf,411,0.09424,0.06055,0.01189,0.00648,0.01734
cc,leaf,412,0.00456,0.0084,-0.00539,-0.00894,-0.00235
cc,leaf,413,0.00397,0.01454,-0.00697,-0.01541,-0.00116
cc,leaf,414,0.01193,0.00766,0.00541,0.00174,0.00919
cc,leaf,416.2,0.0298,0.03007,0.00113,-0.00392,0.00653
cc,leaf,501,0.05621,0.0573,0.00435,-0.00435,0.01203
cc,leaf,502,0.02005,0.01581,-0.00463,-0.00883,-0.00151
cc,leaf,503,0.06674,0.08281,0.00599,-0.00372,0.01514
cc,leaf,504,0.13094,0.12198,0.02364,0.01158,0.03533
cc,leaf,505,0.00339,0.00481,-0.00397,-0.00684,-0.00137
cc,leaf,506,0.04602,0.05713,0.00284,-0.0034,0.00946
cc,leaf,507,0.00052,0.00159,-0.00155,-0.00366,-9e-05
cc,leaf,601.1,0.01687,0.012,0.00855,0.00379,0.01368
cc,leaf,601.2,0.00307,0.0097,-0.00717,-0.01281,-0.00229
cc,leaf,602.1,0.00108,0.00056,-0.00038,-0.00098,0.00017
cc,leaf,602.2,0.00745,0.00638,0.00145,-0.00193,0.00452
cc,leaf,603,0.0042,0.01357,-0.00918,-0.01734,-0.0029
cc,leaf,604,0.0024,0.00484,-0.00208,-0.00551,0.00068
cc,leaf,605.1,0.0464,0.04907,0.00134,-0.00628,0.00844
cc,leaf,605.2,0.00577,0.00558,0.00127,-0.00267,0.00511
cc,leaf,606.1,0.00746,0.00761,-0.00304,-0.00508,-0.00113
cc,leaf,607.1,0.00518,0.00472,-0.00191,-0.00476,0.00027
cc,leaf,607.2,0.00294,0.00228,-0.0014,-0.00333,-8e-05
cc,leaf,607.3,0.01272,0.01421,-0.00032,-0.00399,0.00318
