estimator,level,code,train_prevalence,mean_true_share,bias,ci_low,ci_high
cc,leaf,101,0.00305,0.00293,0.0,-0.00211,0.00271
cc,leaf,103.1,0.00116,0.00486,-0.0031,-0.01002,0.00059
cc,leaf,104,0.01039,0.01049,0.00105,-0.00169,0.00364
cc,leaf,105,0.00578,0.00484,-0.00162,-0.00507,0.00096
cc,leaf,106,0.00331,0.00252,-0.00078,-0.00295,0.00129
cc,leaf,107,0.02238,0.0227,0.00609,0.00175,0.00994
cc,leaf,108,0.01708,0.02084,0.00464,-0.00088,0.00936
cc,leaf,109,0.00112,0.00133,-0.00118,-0.00196,-0.00046
cc,leaf,110,0.00602,0.00759,-0.00269,-0.00588,0.00028
cc,leaf,201.1,0.00788,0.00877,-0.00224,-0.00531,0.00103
cc,leaf,201.2,0.02337,0.02871,-0.00871,-0.02483,0.00308
cc,leaf,202.1,0.02638,0.02671,0.0026,-0.0101,0.01416
cc,leaf,202.3,0.00063,0.00136,-0.00136,-0.00259,-0.0003
cc,leaf,202.4,0.00644,0.0035,0.00207,0.00052,0.00391
cc,leaf,203,0.00237,0.00158,-0.00093,-0.00265,0.00031
cc,leaf,204,0.00063,0.0025,-0.0025,-0.00498,-0.00056
cc,leaf,301,0.01523,0.03095,-0.01221,-0.02755,0.00044
cc,leaf,302,0.00506,0.00369,0.0008,-0.00223,0.00452
cc,leaf,303,0.02459,0.04794,-0.01615,-0.03489,0.00125
cc,leaf,304,0.00279,0.00187,-0.00119,-0.0024,-0.00025
cc,leaf,305.1,0.00329,0.00625,-0.00413,-0.00703,-0.00196
cc,leaf,305.3,0.00101,0.00203,-0.00161,-0.00424,0.00027
cc,leaf,401,0.00556,0.0115,-0.01102,-0.01897,-0.00434
cc,leaf,402,0.01327,0.01705,-0.00683,-0.01503,0.00016
cc,leaf,403,0.07195,0.04326,0.02664,0.01242,0.04075
cc,leaf,404,0.00241,0.00058,-0.0001,-0.00078,0.00059
cc,leaf,405,0.00627,0.00616,-0.0024,-0.00571,0.00093
cc,leaf,406,0.0026,0.00221,-0.00118,-0.00174,-0.00061
cc,leaf,407,0.0012,0.00276,-0.00256,-0.00433,-0.00091
cc,leaf,408,0.00156,0.00208,-0.002,-0.00338,-0.00074
cc,leaf,409,0.00297,0.00369,-0.00237,-0.00394,-0.00074
cc,leaf,410,0.00316,0.00435,-0.00212,-0.00409,-0.00046
cc,leaf,411,0.07155,0.0657,0.00972,0.0038,0.01666
cc,leaf,412,0.01336,0.01114,-0.00749,-0.01732,0.00065
cc,leaf,413,0.008,0.00398,-0.00165,-0.00533,0.00156
cc,leaf,414,0.00429,0.00985,-0.00809,-0.01325,-0.00356
cc,leaf,415,0.00357,0.00198,-0.00126,-0.0043,0.00069
cc,leaf,416.1,0.00463,0.00404,-0.00226,-0.00826,0.00152
cc,leaf,416.2,0.05916,0.04276,0.008,0.001,0.01521
cc,leaf,501,0.05516,0.04507,0.00388,-0.00739,0.01346
cc,leaf,502,0.02971,0.02696,-0.00122,-0.00534,0.00267
cc,leaf,503,0.15084,0.10205,0.09655,0.07124,0.1224
cc,leaf,504,0.07599,0.06993,0.00656,-0.00935,0.0201
cc,leaf,505,0.00659,0.01059,-0.01014,-0.01791,-0.00297
cc,leaf,506,0.03951,0.04709,0.00208,-0.0027,0.00625
cc,leaf,601.1,0.00905,0.01852,-0.00528,-0.01293,0.00312
cc,leaf,601.2,0.00542,0.01086,-0.00631,-0.01225,-0.00011
cc,leaf,602.1,0.00158,0.00598,-0.00513,-0.00991,-0.00091
cc,leaf,602.2,0.00866,0.00586,0.00244,-0.00019,0.00529
cc,leaf,603,0.00863,0.01397,-0.01149,-0.02914,-0.00037
cc,leaf,604,0.01057,0.01564,-0.00561,-0.01172,9e-05
cc,leaf,605.1,0.03642,0.04328,0.00299,-0.00938,0.01743
cc,leaf,605.2,0.00754,0.00652,-0.00256,-0.00755,0.00128
cc,leaf,606.1,0.01494,0.02832,-0.01603,-0.03236,-0.00242
cc,leaf,607.1,0.00231,0.00259,-0.00203,-0.0047,0.00019
cc,leaf,607.2,0.00734,0.00193,0.00291,0.00078,0.0049
cc,leaf,608.1,0.0004,0.00052,-0.00052,-0.00143,0.0
cc,leaf,608.2,0.0038,0.00856,-0.00527,-0.00985,-0.0011
cc,leaf,701,0.04577,0.04286,0.00855,-0.00172,0.01946
cc,leaf,703.1,0.01223,0.0119,-0.0007,-0.00535,0.00407
cc,leaf,703.2,0.00081,0.00156,-0.00131,-0.00258,-0.00015
cc,leaf,704,0.00129,0.00238,-0.00224,-0.00415,-0.00069
cc,category,101,0.00305,0.00293,0.0,-0.00209,0.00269
cc,category,103,0.00116,0.00486,-0.0031,-0.01002,0.00066
cc,category,104,0.01039,0.01049,0.00105,-0.0018,0.00364
cc,category,105,0.00578,0.00484,-0.00162,-0.00518,0.00093
cc,category,106,0.00331,0.00252,-0.00078,-0.00297,0.00122
cc,category,107,0.02238,0.0227,0.00609,0.00182,0.01022
cc,category,108,0.01708,0.02084,0.00464,-0.00092,0.00919
cc,category,109,0.00112,0.00133,-0.00118,-0.00195,-0.00045
cc,category,110,0.00602,0.00759,-0.00269,-0.00578,0.00039
cc,category,201,0.03124,0.03748,-0.01095,-0.02703,0.00112
cc,category,202,0.03345,0.03157,0.00331,-0.00864,0.01466
cc,category,203,0.00237,0.00158,-0.00093,-0.00265,0.00031
cc,category,204,0.00063,0.0025,-0.0025,-0.00507,-0.00056
cc,category,301,0.01523,0.03095,-0.01221,-0.02845,0.00076
cc,category,302,0.00506,0.00369,0.0008,-0.00222,0.00464
cc,category,303,0.02459,0.04794,-0.01615,-0.03372,0.0014
cc,category,304,0.00279,0.00187,-0.00119,-0.00249,-0.0003
cc,category,305,0.00431,0.00828,-0.00574,-0.00941,-0.00273
cc,category,401,0.00556,0.0115,-0.01102,-0.0191,-0.00422
cc,category,402,0.01327,0.01705,-0.00683,-0.01505,0.00035
cc,category,403,0.07195,0.04326,0.02664,0.01321,0.0412
cc,category,404,0.00241,0.00058,-0.0001,-0.00076,0.0006
