wave,coder,code,name,bes_share,model_share,gap
1,human,1,Health,0.02467,0.02458,8e-05
1,human,2,Education,0.00872,0.00874,-2e-05
1,human,3,Election outcome,0.00037,0.00086,-0.00049
1,human,4,Pol-neg,0.0228,0.02325,-0.00045
1,human,5,Partisan-neg,0.01121,0.0103,0.00091
1,human,6,Societal divides,0.00274,0.00264,0.0001
1,human,7,Morals,0.00274,0.00289,-0.00015
1,human,8,"Nat ident, goals-loss",0.00112,0.00115,-2e-05
1,human,9,Racism/discrimination,0.00112,0.00099,0.00013
1,human,10,Welfare,0.02666,0.02601,0.00065
1,human,11,Terrorism,0.00424,0.00453,-0.0003
1,human,12,Immigration,0.22736,0.22652,0.00084
1,human,13,Asylum,0.00025,0.00026,-1e-05
1,human,14,Crime,0.00685,0.00696,-0.00011
1,human,15,Europe,0.02479,0.02578,-0.00099
1,human,16,Constitutional,0.00025,0.00068,-0.00043
1,human,17,International trade,0.001,0.00111,-0.00012
1,human,18,Devolution,0.00162,0.00198,-0.00036
1,human,19,Scot-ind,0.06092,0.05931,0.00161
1,human,21,Foreign affairs,0.01482,0.01411,0.00072
1,human,22,War,0.00399,0.00432,-0.00034
1,human,23,Defence,0.00199,0.00211,-0.00012
1,human,24,Foreign emergency,0.0,2e-05,-2e-05
1,human,25,Domestic emergency,0.04722,0.04713,9e-05
1,human,26,Economy-general,0.26535,0.26426,0.0011
1,human,27,Economy-personal,0.00149,0.001,0.0005
1,human,28,Unemployment,0.0431,0.04295,0.00015
1,human,29,Taxation,0.00536,0.00536,-0.0
1,human,30,Debt/deficit,0.02566,0.02535,0.00032
1,human,31,Inflation,0.00125,0.00146,-0.00021
1,human,32,Living costs,0.02703,0.02714,-0.00011
1,human,33,Poverty,0.0309,0.03151,-0.00062
1,human,34,Austerity,0.01557,0.01525,0.00032
1,human,35,Inequality,0.02267,0.02261,6e-05
1,human,36,Housing,0.01059,0.01081,-0.00022
1,human,37,Social care,0.00112,0.00117,-5e-05
1,human,38,Pensions/ageing,0.00448,0.00403,0.00045
1,human,39,Transport/infrastructure,0.00125,0.00154,-0.0003
1,human,40,Environment,0.03326,0.03296,0.0003
1,human,41,Pol values-auth,0.00075,0.00049,0.00026
1,human,42,Pol values-liberal,0.001,0.00122,-0.00022
1,human,43,Pol values-right,0.00075,0.00054,0.00021
1,human,44,Pol values-left,0.00212,0.00258,-0.00046
1,human,45,Other,0.00025,0.00013,0.00012
1,human,46,Uncoded,0.00598,0.00649,-0.00051
1,human,47,Referendum unspecified,0.00174,0.00282,-0.00107
1,human,48,Coronavirus,0.0,0.00082,-0.00082
1,human,49,Covid-economy,0.0,0.00044,-0.00044
1,human,50,Gender/sexuality/family,0.00087,0.00082,6e-05
2,human,1,Health,0.03704,0.03691,0.00012
2,human,2,Education,0.0096,0.00953,7e-05
2,human,3,Election outcome,0.00148,0.00201,-0.00054
2,human,4,Pol-neg,0.03335,0.03324,0.00011
2,human,5,Partisan-neg,0.03236,0.03023,0.00214
2,human,6,Societal divides,0.00283,0.00318,-0.00035
2,human,7,Morals,0.00381,0.00345,0.00036
2,human,8,"Nat ident, goals-loss",0.0032,0.00396,-0.00076
2,human,9,Racism/discrimination,0.00566,0.00533,0.00033
2,human,10,Welfare,0.0171,0.0171,0.0
2,human,11,Terrorism,0.01255,0.01289,-0.00033
2,human,12,Immigration,0.26726,0.26586,0.0014
2,human,13,Asylum,0.00049,0.0006,-0.0001
2,human,14,Crime,0.00763,0.00794,-0.00031
2,human,15,Europe,0.05389,0.0545,-0.00061
2,human,16,Constitutional,0.00037,0.00073,-0.00036
2,human,17,International trade,0.00111,0.00131,-0.0002
2,human,18,Devolution,0.00123,0.00122,2e-05
2,human,19,Scot-ind,0.0502,0.04912,0.00108
2,human,21,Foreign affairs,0.00258,0.0029,-0.00031
2,human,22,War,0.00135,0.0015,-0.00015
2,human,23,Defence,0.00172,0.00163,9e-05
2,human,24,Foreign emergency,0.0,2e-05,-2e-05
2,human,25,Domestic emergency,0.00025,0.00044,-0.00019
2,human,26,Economy-general,0.22222,0.22255,-0.00033
2,human,27,Economy-personal,0.00098,0.00084,0.00014
2,human,28,Unemployment,0.04331,0.04289,0.00042
2,human,29,Taxation,0.00406,0.00396,0.0001
2,human,30,Debt/deficit,0.01883,0.0184,0.00042
2,human,31,Inflation,0.00135,0.00169,-0.00033
2,human,32,Living costs,0.02879,0.02885,-6e-05
2,human,33,Poverty,0.02141,0.02115,0.00026
2,human,34,Austerity,0.01157,0.01198,-0.00041
2,human,35,Inequality,0.02769,0.02647,0.00122
2,human,36,Housing,0.02682,0.0267,0.00013
2,human,37,Social care,0.0016,0.00136,0.00024
2,human,38,Pensions/ageing,0.00492,0.00484,8e-05
2,human,39,Transport/infrastructure,0.00074,0.00123,-0.00049
2,human,40,Environment,0.02522,0.02448,0.00075
2,human,41,Pol values-auth,0.00062,0.00084,-0.00023
2,human,42,Pol values-liberal,0.00246,0.00299,-0.00053
2,human,43,Pol values-right,0.00074,0.00063,0.00011
2,human,44,Pol values-left,0.00258,0.00349,-0.00091
2,human,45,Other,0.00062,0.00017,0.00045
2,human,46,Uncoded,0.00394,0.00424,-0.0003
2,human,47,Referendum unspecified,0.00197,0.00284,-0.00087
2,human,48,Coronavirus,0.0,0.00079,-0.00079
2,human,49,Covid-economy,0.0,0.00042,-0.00042
2,human,50,Gender/sexuality/family,0.00049,0.00065,-0.00016
3,human,1,Health,0.05772,0.05741,0.00031
3,human,2,Education,0.00519,0.00516,3e-05
3,human,3,Election outcome,0.00205,0.0036,-0.00156
3,human,4,Pol-neg,0.03139,0.03225,-0.00086
3,human,5,Partisan-neg,0.01733,0.01674,0.00059
3,human,6,Societal divides,0.00519,0.00554,-0.00035
3,human,7,Morals,0.00232,0.00261,-0.00029
3,human,8,"Nat ident, goals-loss",0.00355,0.00466,-0.00111
3,human,9,Racism/discrimination,0.00177,0.00205,-0.00028
3,human,10,Welfare,0.01051,0.01054,-3e-05
3,human,11,Terrorism,0.13824,0.13457,0.00367
3,human,12,Immigration,0.23212,0.23157,0.00055
3,human,13,Asylum,0.00068,0.00062,6e-05
3,human,14,Crime,0.00532,0.00626,-0.00094
3,human,15,Europe,0.01624,0.01951,-0.00327
3,human,16,Constitutional,0.01269,0.01185,0.00084
3,human,17,International trade,0.00082,0.00096,-0.00014
3,human,18,Devolution,0.02429,0.02201,0.00228
3,human,19,Scot-ind,0.02866,0.02636,0.0023
3,human,21,Foreign affairs,0.01078,0.01146,-0.00068
3,human,22,War,0.02374,0.02239,0.00135
3,human,23,Defence,0.00682,0.00689,-7e-05
3,human,24,Foreign emergency,0.0,2e-05,-2e-05
3,human,25,Domestic emergency,0.00014,0.00028,-0.00014
3,human,26,Economy-general,0.16826,0.16906,-0.0008
3,human,27,Economy-personal,0.00096,0.00117,-0.00021
3,human,28,Unemployment,0.02415,0.02357,0.00059
3,human,29,Taxation,0.003,0.00287,0.00014
3,human,30,Debt/deficit,0.02142,0.02153,-0.00011
3,human,31,Inflation,0.00109,0.00095,0.00014
3,human,32,Living costs,0.02238,0.02273,-0.00035
3,human,33,Poverty,0.01678,0.01763,-0.00084
3,human,34,Austerity,0.01228,0.01289,-0.00061
3,human,35,Inequality,0.03521,0.0344,0.00081
3,human,36,Housing,0.01255,0.01294,-0.00038
3,human,37,Social care,0.00096,0.00102,-7e-05
3,human,38,Pensions/ageing,0.00409,0.00407,3e-05
3,human,39,Transport/infrastructure,0.00164,0.00163,1e-05
3,human,40,Environment,0.0202,0.01956,0.00063
3,human,41,Pol values-auth,0.00014,0.00056,-0.00042
3,human,42,Pol values-liberal,0.00218,0.00202,0.00016
3,human,43,Pol values-right,0.00055,0.00063,-8e-05
3,human,44,Pol values-left,0.00341,0.00368,-0.00026
