code,category,domain,train_units,test_units,f1
506,506,domain_5,3977,1489,0.6895
504,504,domain_5,11315,3828,0.68
501,501,domain_5,4857,1606,0.6262
106,106,domain_1,218,56,0.6261
607.3,607,domain_6,1099,570,0.6166
411,411,domain_4,8144,2299,0.6096
104,104,domain_1,2649,591,0.5749
701,701,domain_7,3449,1382,0.568
605.1,605,domain_6,4010,873,0.5608
703.1,703,domain_7,4059,803,0.5352
502,502,domain_5,1733,547,0.521
416.2,416,domain_4,2575,922,0.5006
107,107,domain_1,1343,365,0.4838
304,304,domain_3,406,340,0.4742
402,402,domain_4,3680,614,0.4408
503,503,domain_5,5767,1891,0.4403
413,413,domain_4,343,181,0.4384
403,403,domain_4,3579,1336,0.429
410,410,domain_4,3085,447,0.4019
202.1,202,domain_2,1287,550,0.3984
201.2,201,domain_2,994,295,0.3922
108,108,domain_1,446,63,0.3765
414,414,domain_4,1031,212,0.3623
301,301,domain_3,1414,287,0.3583
407,407,domain_4,541,121,0.3515
602.2,602,domain_6,644,131,0.3462
105,105,domain_1,234,53,0.3419
607.1,607,domain_6,448,114,0.337
605.2,605,domain_6,499,155,0.3311
607.2,607,domain_6,254,117,0.3291
303,303,domain_3,1362,419,0.2861
202.4,202,domain_2,60,58,0.2785
601.1,601,domain_6,1458,236,0.2704
406,406,domain_4,449,272,0.2649
412,412,domain_4,394,127,0.2629
606.1,606,domain_6,645,218,0.2508
603,603,domain_6,363,357,0.2484
305.1,305,domain_3,1659,317,0.2359
601.2,601,domain_6,265,189,0.2203
110,110,domain_1,177,52,0.2078
409,409,domain_4,462,78,0.1964
305.2,305,domain_3,308,39,0.1915
101,101,domain_1,378,92,0.1912
604,604,domain_6,207,69,0.186
103.1,103,domain_1,82,12,0.1818
401,401,domain_4,1049,419,0.1553
203,203,domain_2,53,72,0.1463
704,704,domain_7,93,11,0.1429
202.3,202,domain_2,56,91,0.1373
705,705,domain_7,275,53,0.1311
706,706,domain_7,725,248,0.1154
201.1,201,domain_2,243,195,0.1088
204,204,domain_2,101,41,0.1071
305.3,305,domain_3,85,29,0.1
702,702,domain_7,172,26,0.0968
405,405,domain_4,109,43,0.0588
505,505,domain_5,293,108,0.05
109,109,domain_1,71,93,0.0412
404,404,domain_4,337,112,0.0296
302,302,domain_3,82,16,0.0
408,408,domain_4,183,53,0.0
507,507,domain_5,45,35,0.0
602.1,602,domain_6,93,10,0.0
