code,category,domain,train_units,test_units,f1
502,502,domain_5,1939,450,0.6282
506,506,domain_5,2579,679,0.6215
501,501,domain_5,3600,672,0.5716
416.2,416,domain_4,3861,649,0.5622
104,104,domain_1,678,175,0.5591
605.1,605,domain_6,2377,716,0.5293
703.1,703,domain_7,798,173,0.5194
701,701,domain_7,2987,716,0.501
411,411,domain_4,4670,1119,0.4852
105,105,domain_1,377,60,0.4717
108,108,domain_1,1115,334,0.4623
504,504,domain_5,4960,1018,0.4615
503,503,domain_5,9845,1498,0.4075
107,107,domain_1,1461,355,0.4064
604,604,domain_6,690,217,0.3966
201.2,201,domain_2,1525,359,0.3949
202.4,202,domain_2,420,45,0.377
303,303,domain_3,1605,898,0.3726
202.1,202,domain_2,1722,408,0.3648
606.1,606,domain_6,975,428,0.3563
106,106,domain_1,216,34,0.3509
301,301,domain_3,994,611,0.3416
605.2,605,domain_6,492,94,0.3106
101,101,domain_1,199,47,0.3059
608.2,608,domain_6,248,164,0.3036
402,402,domain_4,866,290,0.2982
601.1,601,domain_6,591,327,0.291
403,403,domain_4,4696,634,0.2762
110,110,domain_1,393,157,0.2598
103.1,103,domain_1,76,58,0.2532
410,410,domain_4,206,75,0.2478
601.2,601,domain_6,354,204,0.2263
201.1,201,domain_2,514,125,0.1953
602.2,602,domain_6,565,86,0.1875
414,414,domain_4,280,191,0.1704
703.2,703,domain_7,53,20,0.1667
405,405,domain_4,409,87,0.1644
602.1,602,domain_6,103,71,0.1446
409,409,domain_4,194,51,0.1408
304,304,domain_3,182,33,0.1364
406,406,domain_4,170,31,0.1333
415,415,domain_4,233,23,0.1212
413,413,domain_4,522,47,0.119
305.3,305,domain_3,66,28,0.1176
603,603,domain_6,563,188,0.1171
607.2,607,domain_6,479,25,0.1132
412,412,domain_4,872,138,0.1036
407,407,domain_4,78,53,0.1034
305.1,305,domain_3,215,90,0.0976
302,302,domain_3,330,69,0.0864
416.1,416,domain_4,302,46,0.0857
109,109,domain_1,73,25,0.0741
203,203,domain_2,155,19,0.069
607.1,607,domain_6,151,34,0.0476
401,401,domain_4,363,187,0.0103
505,505,domain_5,430,208,0.0093
202.3,202,domain_2,41,16,0.0
204,204,domain_2,41,54,0.0
404,404,domain_4,157,9,0.0
408,408,domain_4,102,35,0.0
608.1,608,domain_6,26,12,0.0
704,704,domain_7,84,33,0.0
